timestamp,ax,ay,az
2026-07-08 09:40:44.929929+00:00,-0.1625,-0.9862,0.0376
2026-07-08 09:40:44.930248+00:00,-0.0415,-0.9184,-0.0351
2026-07-08 09:40:44.930679+00:00,-0.1854,-1.119,0.0488
2026-07-08 09:40:44.930965+00:00,0.0102,-0.9091,-0.0215
2026-07-08 09:40:44.933367+00:00,-0.1376,-1.078,0.0395
2026-07-08 09:40:44.935338+00:00,-0.0464,-0.9414,-0.0102
2026-07-08 09:40:44.977381+00:00,-0.0913,-1.0399,-0.0068
2026-07-08 09:40:44.977693+00:00,-0.0371,-0.9628,-0.0137
2026-07-08 09:40:44.977970+00:00,-0.1288,-1.0121,0.0063
2026-07-08 09:40:44.978197+00:00,-0.1591,-0.9872,0.039
2026-07-08 09:40:45.038587+00:00,-0.0386,-0.9282,-0.042
2026-07-08 09:40:45.039144+00:00,-0.1503,-1.1234,0.0459
2026-07-08 09:40:45.039587+00:00,0.0098,-0.9043,-0.02
2026-07-08 09:40:45.039777+00:00,-0.1435,-1.0829,0.0478
2026-07-08 09:40:45.039957+00:00,-0.0405,-0.9057,-0.0176
2026-07-08 09:40:45.040175+00:00,-0.1552,-1.0482,0.0005
2026-07-08 09:40:45.101925+00:00,-0.0303,-0.9536,-0.0161
2026-07-08 09:40:45.102342+00:00,-0.1352,-1.0116,-0.001
2026-07-08 09:40:45.102685+00:00,-0.1547,-1.1107,0.0371
2026-07-08 09:40:45.103009+00:00,-0.1606,-0.9287,-0.0488
2026-07-08 09:40:45.103284+00:00,-0.1474,-1.1224,0.0439
2026-07-08 09:40:45.103569+00:00,0.0049,-0.9028,-0.02
2026-07-08 09:40:45.103851+00:00,-0.1503,-1.0829,0.0386
2026-07-08 09:40:45.151638+00:00,-0.0327,-0.9052,-0.021
2026-07-08 09:40:45.152321+00:00,-0.1498,-1.0492,0.0073
2026-07-08 09:40:45.152693+00:00,-0.0234,-0.9545,-0.0146
2026-07-08 09:40:45.152913+00:00,-0.1415,-1.0214,-0.0029
2026-07-08 09:40:45.153114+00:00,-0.1547,-1.1073,0.04
2026-07-08 09:40:45.212561+00:00,-0.1405,-0.9292,-0.0512
2026-07-08 09:40:45.212971+00:00,-0.1474,-1.1258,0.0439
2026-07-08 09:40:45.213303+00:00,0.0024,-0.8999,-0.04
2026-07-08 09:40:45.213613+00:00,-0.1552,-1.0224,0.04
2026-07-08 09:40:45.213876+00:00,-0.0917,-0.8974,-0.0273
2026-07-08 09:40:45.214100+00:00,-0.1469,-1.0438,0.0054
2026-07-08 09:40:45.263341+00:00,-0.0176,-0.9482,0.0459
2026-07-08 09:40:45.277863+00:00,-0.1469,-0.8945,-0.0029
2026-07-08 09:40:45.278486+00:00,-0.0229,-1.1063,0.04
2026-07-08 09:40:45.278781+00:00,-0.1386,-0.9331,-0.0478
2026-07-08 09:40:45.279234+00:00,-0.1435,-1.1307,0.0459
2026-07-08 09:40:45.310182+00:00,-0.0049,-0.8979,-0.0332
2026-07-08 09:40:45.310657+00:00,-0.1542,-1.0253,0.0371
2026-07-08 09:40:45.311019+00:00,-0.0854,-0.8974,-0.0244
