timestamp,ax,ay,az
2026-07-08 09:55:05.771900+00:00,-0.3826,-1.0272,0.0068
2026-07-08 09:55:05.772388+00:00,0.063,-0.5007,-0.3392
2026-07-08 09:55:05.772656+00:00,0.0678,-1.8144,0.305
2026-07-08 09:55:05.772849+00:00,-0.6788,0.3396,-0.7408
2026-07-08 09:55:05.773306+00:00,0.4392,-1.4796,0.3274
2026-07-08 09:55:05.773469+00:00,-0.63,-1.16,0.0337
2026-07-08 09:55:05.773621+00:00,0.161,-1.058,0.2123
2026-07-08 09:55:05.823526+00:00,-0.0908,-1.2098,0.1088
2026-07-08 09:55:05.823878+00:00,-0.1176,-0.0966,-0.5671
2026-07-08 09:55:05.824314+00:00,0.2635,-1.9988,0.5666
2026-07-08 09:55:05.824705+00:00,-0.5788,-0.8647,-0.6612
2026-07-08 09:55:05.824973+00:00,0.3601,-1.4513,0.3118
2026-07-08 09:55:05.885636+00:00,-0.4133,-0.916,-0.0024
2026-07-08 09:55:05.886270+00:00,0.1581,-0.8496,-0.1381
2026-07-08 09:55:05.886586+00:00,-0.0142,-1.9491,0.1693
2026-07-08 09:55:05.886847+00:00,-0.4407,-0.1654,-0.7432
2026-07-08 09:55:05.887150+00:00,0.3562,-1.7012,0.4309
2026-07-08 09:55:05.887377+00:00,-0.5617,-0.977,-0.0473
2026-07-08 09:55:05.939542+00:00,0.224,-1.1976,0.1039
2026-07-08 09:55:05.940170+00:00,-0.1903,-1.5045,0.0005
2026-07-08 09:55:05.940621+00:00,-0.1776,-0.2064,-0.509
2026-07-08 09:55:05.940925+00:00,0.1532,-1.8851,0.5319
2026-07-08 09:55:05.941269+00:00,-0.407,-0.4577,-0.2445
2026-07-08 09:55:05.999148+00:00,0.3362,-1.1068,0.2484
2026-07-08 09:55:05.999526+00:00,-0.344,-1.1444,0.04
2026-07-08 09:55:05.999909+00:00,0.1113,-0.9013,-0.0942
2026-07-08 09:55:06.000114+00:00,-0.0039,-1.7529,0.447
